2024-10-27T15:46:14+01:00: root:[::1]:51769 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:46:42+01:00: root:[::1]:51769 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:47:36+01:00: root:[::1]:51769 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:49:14+01:00: root:[::1]:52091 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:51:27+01:00: root:[::1]:52261 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:51:33+01:00: root:[::1]:52261 just sent attack, (target: 70.70.70.70 | method: udp)
2024-10-27T15:52:53+01:00: root:[::1]:52261 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:36:40+01:00: root:[::1]:51850 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:50+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:53+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:54+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:54+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:55+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:55+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:56+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:56+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:56+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:45:57+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:46:51+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: tlskill)
2024-11-04T22:46:52+01:00: root:[::1]:52577 just sent attack, (target: 70.70.70.70 | method: tlskill)
2024-11-04T22:48:15+01:00: root:[::1]:52924 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-04T22:50:20+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:22+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:22+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:23+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:23+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:23+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:24+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:24+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-04T22:50:24+01:00: root:[::1]:52981 just sent attack, (target: 70.70.70.53 | method: udp)
2024-11-11T14:44:58+01:00: root:[::1]:58596 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-11T14:45:10+01:00: root:[::1]:58596 just sent attack, (target: 70.70.70.70 | method: udp)
2024-11-11T14:47:02+01:00: root:[::1]:58991 just sent attack, (target: 70.70.70.70 | method: udp)
